,name,handedness,height,weight,avg,HR,weight_cat,height_cat
0,Tom Brown,R,73,170,0.0,0,Low,Medium
1,Denny Lemaster,R,73,182,0.13,4,Medium,Medium
2,Joe Nolan,L,71,175,0.263,27,Low,Low
3,Denny Doyle,L,69,175,0.25,16,Low,Low
4,Jose Cardenal,R,70,150,0.275,138,Low,Low
5,Mike Ryan,R,74,205,0.193,28,High,Medium
6,Fritz Peterson,B,72,185,0.159,2,Medium,Low
7,Dick Bertell,R,72,200,0.25,10,High,Low
8,Rod Kanehl,R,73,180,0.24100000000000002,6,Medium,Medium
9,Ozzie Osborn,R,74,195,0.0,0,High,Medium
10,John LaRose,L,73,185,0.0,0,Medium,Medium
11,Jeff Byrd,R,75,195,0.0,0,High,High
12,Juan Bonilla,R,69,170,0.256,7,Low,Low
13,Frank Tepedino,L,71,185,0.24100000000000002,6,Medium,Low
14,Jerry Kutzler,L,73,175,0.0,0,Low,Medium
15,Rick Wise,R,73,180,0.195,15,Medium,Medium
16,Darrell Evans,L,74,200,0.248,414,High,Medium
17,Buck Martinez,R,70,190,0.225,58,Medium,Low
18,John Wockenfuss,R,72,190,0.262,86,Medium,Low
19,Tommy McCraw,L,72,183,0.24600000000000002,75,Medium,Low
20,Jeff Barkley,B,75,185,0.0,0,Medium,High
21,Eric Wilkins,R,73,190,0.0,0,Medium,Medium
22,Britt Burns,L,77,215,0.0,0,High,High
23,Lee Lacy,R,73,175,0.28600000000000003,91,Low,Medium
24,Pete Rose,B,71,192,0.303,160,High,Low
25,Danny Walton,R,72,195,0.223,28,High,Low
26,Bobby Cox,R,71,180,0.225,9,Medium,Low
27,Brad Wellman,R,72,170,0.231,6,Low,Low
28,Jeff Newman,R,74,215,0.22399999999999998,63,High,Medium
29,Pedro Gonzalez,R,72,176,0.244,8,Low,Low
30,Nardi Contreras,B,74,193,0.0,0,High,Medium
31,Tommie Reynolds,R,74,190,0.226,12,Medium,Medium
32,Gene Clines,R,69,170,0.27699999999999997,5,Low,Low
33,Jim Hickman,R,75,192,0.252,159,High,High
34,Jack Billingham,R,76,195,0.111,0,High,High
35,Jerry Buchek,R,71,185,0.22,22,Medium,Low
36,Ivan DeJesus,R,71,175,0.254,21,Low,Low
37,Gary Nolan,R,74,197,0.138,1,High,Medium
38,Gil Patterson,R,73,185,0.0,0,Medium,Medium
39,Fred Whitfield,L,73,190,0.253,108,Medium,Medium
40,Larry Dierker,R,76,215,0.136,4,High,High
41,Dave Skaggs,R,74,200,0.24100000000000002,3,High,Medium
42,Dick Ruthven,R,75,190,0.183,1,Medium,High
43,Jerry Garvin,L,75,195,0.0,0,High,High
44,Steve Eddy,R,74,185,0.0,0,Medium,Medium
45,Dave Kingman,R,78,210,0.23600000000000002,442,High,High
46,Eric Soderholm,R,71,187,0.264,102,Medium,Low
47,Kevin Mmahat,L,77,220,0.0,0,High,High
48,Ed Brinkman,R,72,170,0.22399999999999998,60,Low,Low
49,Wayne Garrett,L,71,175,0.239,61,Low,Low
50,Tony Muser,L,74,180,0.259,7,Medium,Medium
51,Jim Siwy,R,76,200,0.0,0,High,High
52,Bud Anderson,R,75,210,0.0,0,High,High
53,Ted Ford,R,70,180,0.21899999999999997,17,Medium,Low
54,Kevin Stanfield,L,72,190,0.0,0,Medium,Low
55,Jim Lyttle,L,72,180,0.248,9,Medium,Low
56,John Butcher,R,76,185,0.0,0,Medium,High
57,Jerry Ujdur,R,73,195,0.0,0,High,Medium
58,Scot Thompson,L,75,195,0.262,5,High,High
59,Gene Locklear,L,70,165,0.27399999999999997,9,Low,Low
60,Bo Diaz,R,71,185,0.255,87,Medium,Low
61,Bump Wills,B,69,172,0.266,36,Low,Low
62,Brian Denman,R,76,205,0.0,0,High,High
63,Pat Putnam,L,72,205,0.255,63,High,Low
64,Kurt Bevacqua,R,72,180,0.23600000000000002,27,Medium,Low
65,Bob Fallon,L,75,200,0.0,0,High,High
66,Syd O'Brien,R,73,185,0.23,24,Medium,Medium
67,Chris Chambliss,L,73,195,0.27899999999999997,185,High,Medium
68,Tom Satriano,L,73,185,0.225,21,Medium,Medium
69,Jeffrey Leonard,R,74,200,0.266,144,High,Medium
70,Dal Maxvill,R,71,157,0.217,6,Low,Low
71,Steve Curry,R,78,217,0.0,0,High,High
72,Cesar Tovar,R,69,155,0.278,46,Low,Low
73,Mickey Lolich,B,73,170,0.11,0,Low,Medium
74,Ray Chadwick,B,74,180,0.0,0,Medium,Medium
75,Jack Heidemann,R,72,175,0.21100000000000002,9,Low,Low
76,Rich Rollins,R,70,185,0.26899999999999996,77,Medium,Low
77,Walt Bond,L,79,228,0.256,41,High,High
78,Merv Rettenmund,R,70,190,0.271,66,Medium,Low
79,Bryan Clutterbuck,R,76,223,0.0,0,High,High
80,Byron Browne,R,74,190,0.23600000000000002,30,Medium,Medium
81,Hector Torres,R,72,175,0.21600000000000003,18,Low,Low
82,Walt Williams,R,66,165,0.27,33,Low,Low
83,Jerry Koosman,R,74,205,0.11900000000000001,2,High,Medium
84,Steve Lombardozzi,R,72,175,0.233,20,Low,Low
85,Joe Azcue,R,72,190,0.252,50,Medium,Low
86,Elliott Maddox,R,71,180,0.261,18,Medium,Low
87,Omar Moreno,L,74,180,0.252,37,Medium,Medium
88,Julian Javier,R,73,175,0.257,78,Low,Medium
89,Tony Ferreira,L,73,160,0.0,0,Low,Medium
90,Elio Chacon,R,69,160,0.23199999999999998,4,Low,Low
91,Rusty Torres,B,70,175,0.212,35,Low,Low
92,John Stearns,R,72,185,0.26,46,Medium,Low
93,Larry Brown,R,70,160,0.233,47,Low,Low
94,Tommy Dean,R,72,165,0.18,4,Low,Low
95,Bryan Oelkers,L,75,192,0.0,0,High,High
96,Kevin Bearse,L,74,195,0.0,0,High,Medium
97,Marty Martinez,B,72,170,0.243,0,Low,Low
98,Bruce Boisclair,L,74,185,0.263,10,Medium,Medium
99,Ken Singleton,B,76,210,0.282,246,High,High
100,Frank White,R,71,165,0.255,160,Low,Low
101,Jim Fairey,L,70,190,0.235,7,Medium,Low
102,Jose Roman,R,72,175,0.0,0,Low,Low
103,Tom Brookens,R,70,165,0.24600000000000002,71,Low,Low
104,Gary Thomasson,L,73,180,0.249,61,Medium,Medium
105,Mike Trujillo,R,73,180,0.0,0,Medium,Medium
106,Albert Williams,R,76,190,0.0,0,Medium,High
107,Oswaldo Peraza,R,76,172,0.0,0,Low,High
108,Otto Velez,R,72,170,0.251,78,Low,Low
109,Tony Scott,B,72,164,0.249,17,Low,Low
110,Ray Oyler,R,71,165,0.175,15,Low,Low
111,Barry Cort,R,77,210,0.0,0,High,High
112,Floyd Robinson,L,69,175,0.28300000000000003,67,Low,Low
113,Steve Jeltz,B,71,180,0.21,5,Medium,Low
114,Lou Brock,L,71,170,0.293,149,Low,Low
115,Bill Wilkinson,R,70,160,0.0,0,Low,Low
116,Joe Lovitto,B,72,185,0.21600000000000003,4,Medium,Low
117,Mike Loynd,R,76,210,0.0,0,High,High
118,Wayne Comer,R,70,175,0.22899999999999998,16,Low,Low
119,Dave Collins,B,71,175,0.272,32,Low,Low
120,Ed Spiezio,R,71,180,0.23800000000000002,39,Medium,Low
121,Rico Petrocelli,R,72,175,0.251,210,Low,Low
122,Johnny Lewis,L,73,189,0.22699999999999998,22,Medium,Medium
123,Dick Simpson,R,76,176,0.207,15,Low,High
124,Ken Boswell,L,72,170,0.248,31,Low,Low
125,Ken McMullen,R,75,190,0.248,156,Medium,High
126,Randy Scarbery,B,73,185,0.0,0,Medium,Medium
127,Steve Swisher,R,74,205,0.21600000000000003,20,High,Medium
128,Ben Callahan,R,79,230,0.0,0,High,High
129,Dick Howser,R,68,155,0.248,16,Low,Low
130,Manny Castillo,B,69,160,0.242,3,Low,Low
131,Mike Ramsey,B,73,170,0.24,2,Low,Medium
132,Willie Crawford,L,73,197,0.268,86,High,Medium
133,Bobby Cuellar,R,71,188,0.0,0,Medium,Low
134,Willie Norwood,R,72,185,0.242,18,Medium,Low
135,Mike Jones,L,78,215,0.0,0,High,High
136,Jeff Stone,L,72,175,0.27699999999999997,11,Low,Low
137,Ramon Manon,R,72,150,0.0,0,Low,Low
138,Joe Lahoud,L,73,198,0.223,65,High,Medium
139,Tim Flannery,L,71,175,0.255,9,Low,Low
140,Dave McKay,B,73,195,0.22899999999999998,21,High,Medium
141,John Trautwein,R,75,205,0.0,0,High,High
142,Andy Replogle,R,77,205,0.0,0,High,High
143,Zach Crouch,L,75,180,0.0,0,Medium,High
144,Benny Ayala,R,73,185,0.251,38,Medium,Medium
145,Ron Romanick,R,76,195,0.0,0,High,High
146,Greg Gross,L,70,160,0.287,7,Low,Low
147,Bruce Tanner,L,75,220,0.0,0,High,High
148,Sal Butera,R,72,190,0.22699999999999998,8,Medium,Low
149,Jack Brohamer,L,70,165,0.245,30,Low,Low
150,Von Joshua,L,70,170,0.273,30,Low,Low
151,Eddie Milner,L,71,173,0.253,42,Low,Low
152,Johnny Jeter,R,73,180,0.244,18,Medium,Medium
153,Angel Salazar,R,72,180,0.212,2,Medium,Low
154,Tony Oliva,L,73,175,0.304,220,Low,Medium
155,Cito Gaston,R,75,190,0.256,91,Medium,High
156,Cookie Rojas,R,70,160,0.263,54,Low,Low
157,Rich Morales,R,71,170,0.195,6,Low,Low
158,Dave Ford,R,76,190,0.0,0,Medium,High
159,Dan Ford,R,73,185,0.27,121,Medium,Medium
160,Barry Raziano,B,70,175,0.0,0,Low,Low
161,Darryl Motley,R,69,196,0.243,44,High,Low
162,Ozzie Virgil,R,73,180,0.243,98,Medium,Medium
163,Johnny Oates,L,71,188,0.25,14,Medium,Low
164,Pat Underwood,L,72,175,0.0,0,Low,Low
165,Mike Phillips,L,72,170,0.24,11,Low,Low
166,Ron Santo,R,72,190,0.27699999999999997,342,Medium,Low
167,Jay Johnstone,L,73,175,0.267,102,Low,Medium
168,Jim Ray Hart,R,71,185,0.278,170,Medium,Low
169,Marc Hill,R,75,205,0.223,34,High,High
170,Joel McKeon,L,72,185,0.0,0,Medium,Low
171,Danny Fife,R,75,175,0.0,0,Low,High
172,Chico Salmon,R,70,160,0.249,31,Low,Low
173,Joe Niekro,R,73,185,0.156,1,Medium,Medium
174,Andy Etchebarren,R,73,190,0.235,49,Medium,Medium
175,Ken Berry,R,72,175,0.255,58,Low,Low
176,Dave Concepcion,R,74,155,0.267,101,Low,Medium
177,Junior Moore,R,71,185,0.264,7,Medium,Low
178,Mike Richardt,R,72,170,0.226,4,Low,Low
179,Chris Brown,R,72,185,0.26899999999999996,38,Medium,Low
180,Al Bumbry,L,68,170,0.281,54,Low,Low
181,Al Downing,R,71,175,0.127,2,Low,Low
182,Bob Didier,B,72,190,0.22899999999999998,0,Medium,Low
183,Jake Gibbs,L,72,180,0.233,25,Medium,Low
184,Garry Hancock,L,72,175,0.247,12,Low,Low
185,Ed Kranepool,L,75,205,0.261,118,High,High
186,Rick Rhoden,R,75,195,0.23800000000000002,9,High,High
187,Denny McLain,R,73,185,0.133,1,Medium,Medium
188,Chuck Hiller,L,71,170,0.243,20,Low,Low
189,Jorge Orta,L,70,170,0.278,130,Low,Low
190,Dave Cash,R,71,170,0.28300000000000003,21,Low,Low
191,Bucky Dent,R,69,170,0.247,40,Low,Low
192,Andy Beene,R,75,205,0.0,0,High,High
193,Bruce Robbins,L,73,190,0.0,0,Medium,Medium
194,Tony Gonzalez,L,69,170,0.28600000000000003,103,Low,Low
195,Leon Hooten,R,71,180,0.0,0,Medium,Low
196,Larry Haney,R,74,195,0.215,12,High,Medium
197,Billy Conigliaro,R,72,180,0.256,40,Medium,Low
198,Gary Roenicke,R,75,205,0.247,121,High,High
199,Don Lock,R,74,195,0.23800000000000002,122,High,Medium
200,Billy Cowan,R,72,170,0.23600000000000002,40,Low,Low
201,Billy Smith,B,74,185,0.23,17,Medium,Medium
202,Allan Ramirez,R,70,180,0.0,0,Medium,Low
203,Tony Perez,R,74,175,0.27899999999999997,379,Low,Medium
204,Chuck Schilling,R,70,160,0.239,23,Low,Low
205,Hal McRae,R,71,180,0.29,191,Medium,Low
206,Dave Roberts,R,75,215,0.239,49,High,High
207,Brian Allard,R,73,175,0.0,0,Low,Medium
208,Jim Lefebvre,B,72,180,0.251,74,Medium,Low
209,Fernando Arroyo,R,74,180,0.0,0,Medium,Medium
210,Gary Beare,R,76,205,0.0,0,High,High
211,Charlie Spikes,R,75,215,0.24600000000000002,65,High,High
212,Brian Dubois,L,70,165,0.0,0,Low,Low
213,Steve Whitaker,L,72,180,0.23,24,Medium,Low
214,Manny Jimenez,L,73,185,0.272,26,Medium,Medium
215,Chris Batton,R,76,195,0.0,0,High,High
216,Duffy Dyer,R,72,187,0.221,30,Medium,Low
217,Ken Henderson,B,74,180,0.257,122,Medium,Medium
218,Vance Lovelace,L,77,205,0.0,0,High,High
219,Greg Thayer,R,71,182,0.0,0,Medium,Low
220,Vern Fuller,R,73,170,0.23199999999999998,14,Low,Medium
221,Paul Hartzell,R,77,200,0.0,0,High,High
222,Wayne Gross,L,74,210,0.233,121,High,Medium
223,Mike Champion,R,72,185,0.22899999999999998,2,Medium,Low
224,Ralph Botting,L,72,195,0.0,0,High,Low
225,Paul Casanova,R,76,180,0.225,50,Medium,High
226,Steve Rogers,R,74,175,0.138,0,Low,Medium
227,Keith Creel,R,74,180,0.0,0,Medium,Medium
228,Terry Crowley,L,72,180,0.25,42,Medium,Low
229,Horace Clarke,B,69,170,0.256,27,Low,Low
230,Lou Clinton,R,73,185,0.247,65,Medium,Medium
231,Larry Cox,R,70,178,0.221,12,Low,Low
232,Nate Colbert,R,74,190,0.243,173,Medium,Medium
233,Phil Roof,R,74,190,0.215,43,Medium,Medium
234,Chuck Hinton,R,73,180,0.264,113,Medium,Medium
235,Tim Cullen,R,73,185,0.22,9,Medium,Medium
236,Tim Harkness,L,74,182,0.235,14,Medium,Medium
237,Rick Bosetti,R,71,185,0.25,17,Medium,Low
238,Ron Pruitt,R,72,185,0.26899999999999996,12,Medium,Low
239,George Foster,R,73,180,0.27399999999999997,348,Medium,Medium
240,Jerry White,B,70,164,0.253,21,Low,Low
241,Angel Mangual,R,70,178,0.245,22,Low,Low
242,Ken Gerhart,R,72,190,0.221,24,Medium,Low
243,Mike Hershberger,R,70,175,0.252,26,Low,Low
244,Jim French,L,68,180,0.196,5,Medium,Low
245,Dave Roberts,L,75,195,0.19399999999999998,7,High,High
246,Jim Mason,L,74,185,0.203,12,Medium,Medium
247,Mike Smith,R,75,180,0.0,0,Medium,High
248,Willie Smith,L,72,182,0.248,46,Medium,Low
249,T.R. Bryden,R,76,190,0.0,0,Medium,High
250,Jose Arcia,R,75,170,0.215,1,Low,High
251,Leon Durham,L,73,185,0.27699999999999997,147,Medium,Medium
252,Tom Makowski,R,71,185,0.0,0,Medium,Low
253,Paul Householder,B,72,180,0.23600000000000002,29,Medium,Low
254,Aurelio Rodriguez,R,70,180,0.237,124,Medium,Low
255,Jimmy Stewart,B,72,165,0.237,8,Low,Low
256,Dick Phillips,L,72,180,0.22899999999999998,12,Medium,Low
257,Andres Thomas,R,73,170,0.23399999999999999,42,Low,Medium
258,Ed Crosby,L,74,175,0.22,0,Low,Medium
259,Mike de la Hoz,R,71,175,0.251,25,Low,Low
260,Frank Taveras,R,72,155,0.255,2,Low,Low
261,Joe Nossek,R,72,178,0.228,3,Low,Low
262,Larry Stahl,L,72,175,0.23199999999999998,36,Low,Low
263,Jose Cruz,L,72,170,0.284,165,Low,Low
264,Don Mason,L,71,160,0.205,3,Low,Low
265,Bill Robinson,R,74,189,0.258,166,Medium,Medium
266,Jim Umbarger,L,78,200,0.0,0,High,High
267,Sal Bando,R,72,195,0.254,242,High,Low
268,George Mitterwald,R,74,195,0.23600000000000002,76,High,Medium
269,Mike Darr,R,76,190,0.0,0,Medium,High
270,Craig Robinson,R,70,165,0.21899999999999997,0,Low,Low
271,Bob Tillman,R,76,205,0.23199999999999998,79,High,High
272,Curt Wardle,L,77,220,0.0,0,High,High
273,Pat Corrales,R,72,180,0.21600000000000003,4,Medium,Low
274,Mike Tyson,R,69,170,0.24100000000000002,27,Low,Low
275,Rafael Landestoy,B,70,165,0.237,4,Low,Low
276,Duane Josephson,R,72,190,0.258,23,Medium,Low
277,Duane Walker,L,72,185,0.22899999999999998,24,Medium,Low
278,Glenn Hubbard,R,69,150,0.244,70,Low,Low
279,Roger Freed,R,72,190,0.245,22,Medium,Low
280,George Hendrick,R,75,195,0.278,267,High,High
281,Rod Carew,L,72,170,0.32799999999999996,92,Low,Low
282,Bob Davis,R,72,180,0.19699999999999998,6,Medium,Low
283,Toby Harrah,R,72,175,0.264,195,Low,Low
284,Rick Manning,L,73,180,0.257,56,Medium,Medium
285,Israel Sanchez,L,69,170,0.0,0,Low,Low
286,Steve Burke,B,74,200,0.0,0,High,Medium
287,Gary Matthews,R,74,185,0.281,234,Medium,Medium
288,Cesar Geronimo,L,72,165,0.258,51,Low,Low
289,Billy Bryan,L,76,200,0.21600000000000003,41,High,High
290,Terry Taylor,R,73,180,0.0,0,Medium,Medium
291,Terry Whitfield,L,73,197,0.281,33,High,Medium
292,Mario Mendoza,R,71,170,0.215,4,Low,Low
293,Fred Lynn,L,73,185,0.28300000000000003,306,Medium,Medium
294,Larry Hisle,R,74,193,0.273,166,High,Medium
295,Graig Nettles,L,72,180,0.248,390,Medium,Low
296,Randy Nosek,R,76,215,0.0,0,High,High
297,Dave Engle,R,75,210,0.262,31,High,High
298,Narciso Elvira,L,70,160,0.0,0,Low,Low
299,Mike Easler,L,72,190,0.293,118,Medium,Low
300,Mark Smith,R,74,215,0.0,0,High,Medium
301,Paul Mitchell,R,73,195,0.0,0,High,Medium
302,Rick Sweet,B,73,200,0.23399999999999999,6,High,Medium
303,Thurman Munson,R,71,190,0.292,113,Medium,Low
304,Rick Monday,L,75,193,0.264,241,High,High
305,Mike Sadek,R,69,165,0.226,5,Low,Low
306,Mark Belanger,R,73,170,0.228,20,Low,Medium
307,Ron Hunt,R,72,186,0.273,39,Medium,Low
308,Joe Keough,L,72,185,0.24600000000000002,9,Medium,Low
309,Butch Edge,R,75,203,0.0,0,High,High
310,Vic Correll,R,70,185,0.22899999999999998,29,Medium,Low
311,Jackie Hernandez,R,71,165,0.20800000000000002,12,Low,Low
312,Tony Solaita,L,72,210,0.255,50,High,Low
313,U L Washington,B,71,175,0.251,27,Low,Low
314,Gary Mielke,R,75,185,0.0,0,Medium,High
315,Rick Henninger,R,78,225,0.0,0,High,High
316,Joe Foy,R,72,215,0.248,58,High,Low
317,Ed Goodson,L,75,180,0.26,30,Medium,High
318,Mark Brown,B,74,190,0.0,0,Medium,Medium
319,Mickey Klutts,R,71,170,0.24100000000000002,14,Low,Low
320,Leroy Stanton,R,73,195,0.244,77,High,Medium
321,Rafael Vasquez,R,72,160,0.0,0,Low,Low
322,Len Whitehouse,L,71,175,0.0,0,Low,Low
323,Danny Ainge,R,76,175,0.22,2,Low,High
324,Adolfo Phillips,R,73,175,0.247,59,Low,Medium
325,Marv Breeding,R,72,175,0.25,7,Low,Low
326,Steve Adkins,R,78,210,0.0,0,High,High
327,Dick McAuliffe,L,71,176,0.247,197,Low,Low
328,Joe Horlen,R,72,170,0.134,0,Low,Low
329,Glenn Burke,R,72,195,0.237,2,High,Low
330,Tony Mack,R,70,177,0.0,0,Low,Low
331,Terry Humphrey,R,75,185,0.21100000000000002,6,Medium,High
332,Bill Moran,R,76,210,0.0,0,High,High
333,Enzo Hernandez,R,68,155,0.22399999999999998,2,Low,Low
334,Cesar Gutierrez,R,69,155,0.235,0,Low,Low
335,Coco Laboy,R,70,165,0.233,28,Low,Low
336,Ted Kubiak,B,72,175,0.231,13,Low,Low
337,Jim Morrison,R,71,175,0.26,112,Low,Low
338,Tom Gilles,R,73,185,0.0,0,Medium,Medium
339,Bobby Knoop,R,73,170,0.23600000000000002,56,Low,Medium
340,Bobby Brown,B,74,190,0.245,26,Medium,Medium
341,Tom Hutton,L,71,180,0.248,22,Medium,Low
342,Ron Hodges,L,73,185,0.24,19,Medium,Medium
343,Rich Chiles,L,71,170,0.254,6,Low,Low
344,Tom Paciorek,R,76,215,0.282,86,High,High
345,Gary Woods,R,74,185,0.243,13,Medium,Medium
346,Bob Montgomery,R,73,195,0.258,23,High,Medium
347,Jeff Burroughs,R,73,200,0.261,240,High,Medium
348,Rusty Staub,L,74,190,0.27899999999999997,292,Medium,Medium
349,Jim Norris,L,70,175,0.264,7,Low,Low
350,Oscar Gamble,L,71,160,0.265,200,Low,Low
351,Bob Kammeyer,R,76,210,0.0,0,High,High
352,George Vukovich,L,72,198,0.268,27,High,Low
353,Joe Pactwa,L,71,185,0.0,0,Medium,Low
354,Craig Reynolds,L,73,175,0.256,42,Low,Medium
355,Paul Blair,R,72,168,0.25,134,Low,Low
356,Al Cowens,R,73,197,0.27,108,High,Medium
357,Al Oliver,L,72,195,0.303,219,High,Low
358,Dave Hilton,R,71,191,0.213,6,High,Low
359,Luis Alvarado,R,69,162,0.214,5,Low,Low
360,Larry Parrish,R,75,190,0.263,256,Medium,High
361,Woodie Fryman,R,75,197,0.138,2,High,High
362,Bob Randall,R,74,175,0.257,1,Low,Medium
363,Jim Pankovits,R,70,170,0.25,9,Low,Low
364,Sherman Corbett,L,76,205,0.0,0,High,High
365,Carmen Fanzone,R,72,200,0.22399999999999998,20,High,Low
366,Gary Allenson,R,71,185,0.221,19,Medium,Low
367,Milt May,L,72,190,0.263,77,Medium,Low
368,Mike Vail,R,73,180,0.27899999999999997,34,Medium,Medium
369,Nick Esasky,R,75,200,0.25,122,High,High
370,Jim Nettles,L,72,186,0.22,16,Medium,Low
371,Lafayette Currence,B,71,175,0.0,0,Low,Low
372,Chris Cannizzaro,R,72,190,0.235,18,Medium,Low
373,Larry Biittner,L,74,205,0.273,29,High,Medium
374,John Pawlowski,R,74,175,0.0,0,Low,Medium
375,Mel Stottlemyre,R,73,178,0.16,7,Low,Medium
376,Jack Hardy,R,74,175,0.0,0,Low,Medium
377,Ron Musselman,R,74,185,0.0,0,Medium,Medium
378,Roy Smalley,B,73,185,0.257,163,Medium,Medium
379,Tony Chevez,R,71,177,0.0,0,Low,Low
380,Andy Messersmith,R,73,200,0.17,5,High,Medium
381,Richie Zisk,R,73,200,0.287,207,High,Medium
382,Dave Chalk,R,70,175,0.252,15,Low,Low
383,Don Baylor,R,73,190,0.26,338,Medium,Medium
384,John Vukovich,R,73,187,0.161,6,Medium,Medium
